id,Genus,species,Country,Island,Latitude,Longitude
908108_H_diadema_Gatokae,Hipposideros,diadema,Solomon Islands,Gatokae,-8.769147,158.215437
908151_H_diadema_Guadalcanal,Hipposideros,diadema,Solomon Islands,Guadalcanal,-9.47,159.87
908152_H_diadema_Guadalcanal,Hipposideros,diadema,Solomon Islands,Guadalcanal,-9.47,159.87
908153a_H_dinops_Guadalcanal,Hipposideros,dinops,Solomon Islands,Guadalcanal,-9.47,159.87
908154_H_dinops_Guadalcanal,Hipposideros,dinops,Solomon Islands,Guadalcanal,-9.47,159.87
908155_H_dinops_Guadalcanal,Hipposideros,dinops,Solomon Islands,Guadalcanal,-9.47,159.87
908156_H_diadema_Guadalcanal,Hipposideros,diadema,Solomon Islands,Guadalcanal,-9.47,159.87
908208_H_diadema_Guadalcanal,Hipposideros,diadema,Solomon Islands,Guadalcanal,-9.47,159.87
KVO168_H_diadema_Isabel,Hipposideros,diadema,Solomon Islands,Isabel,-8.15872,159.54593
KVO169_H_diadema_Isabel,Hipposideros,diadema,Solomon Islands,Isabel,-8.15872,159.54593
KVO170_H_diadema_Isabel,Hipposideros,diadema,Solomon Islands,Isabel,-8.15872,159.54593
KVO171_H_diadema_Isabel,Hipposideros,diadema,Solomon Islands,Isabel,-8.15872,159.54593
KVO242_H_dinops_Rendova,Hipposideros,dinops,Solomon Islands,Rendova,-8.43344,157.391427
KVO243_H_dinops_Rendova,Hipposideros,dinops,Solomon Islands,Rendova,-8.43344,157.391427
KVO245_H_dinops_Rendova,Hipposideros,dinops,Solomon Islands,Rendova,-8.43344,157.391427
KVO246_H_dinops_Rendova,Hipposideros,dinops,Solomon Islands,Rendova,-8.43344,157.391427
KVO248_H_diadema_Rendova,Hipposideros,diadema,Solomon Islands,Rendova,-8.43344,157.391427
THL1156_H_demissus_Makira,Hipposideros,demissus,Solomon Islands,Makira,-10.56936,161.91313
THL1173_H_dinops_Guadalcanal,Hipposideros,dinops,Solomon Islands,Guadalcanal,-9.47,159.87
THL17193_H_diadema_Ngella,Hipposideros,diadema,Solomon Islands,Ngella Islands,-9.020783,160.064067
THL17194_H_diadema_Ngella,Hipposideros,diadema,Solomon Islands,Ngella Islands,-9.020783,160.064067
THL17195_H_diadema_Ngella,Hipposideros,diadema,Solomon Islands,Ngella Islands,-9.020783,160.064067
THL17197_H_diadema_Ngella,Hipposideros,diadema,Solomon Islands,Ngella Islands,-9.020783,160.064067
THL17198_H_diadema_Ngella,Hipposideros,diadema,Solomon Islands,Ngella Islands,-9.020783,160.064067
THL17199_H_diadema_Ngella,Hipposideros,diadema,Solomon Islands,Ngella Islands,-9.020783,160.064067
WD1705_H_diadema_E_New_Britain,Hipposideros,diadema,New Britain,New Britain,-4.8,151.91
WD2047_H_diadema_Simbu_Prov,Hipposideros,diadema,PNG,PNG,-6.36,144.76
WD2074_H_diadema_Gulf_Prov,Hipposideros,diadema,PNG,PNG,-7.54,145.12
