P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
diadema_Gatokae	diadema_Guadalcanal	demissus_Makira	0.258976	3.53872	0.000201035	0.020859	269.271	35.9792	21.1771
diadema_Gatokae	diadema_Isabel	demissus_Makira	0.102478	1.25152	0.105372	0.00804235	270.484	30.8177	25.0885
demissus_Makira	diadema_Gatokae	diadema_NB	0.0756303	0.641659	0.260547	0.00537394	741.75	32	27.5
diadema_Gatokae	diadema_Ngella	demissus_Makira	0.107698	1.14893	0.125292	0.00846999	293.602	30.8771	24.8729
diadema_Rendova	diadema_Gatokae	demissus_Makira	0.170763	1.83819	0.0330173	0.0230085	225.562	56.5625	40.0625
diadema_Gatokae	dinops_Guadalcanal	demissus_Makira	0.14083	1.55424	0.0600639	0.01174	259.63	33.9219	25.5469
diadema_Gatokae	dinops_Rendova	demissus_Makira	0.0161545	0.199611	0.420893	0.00135717	298.307	30.1406	29.1823
diadema_Isabel	diadema_Guadalcanal	demissus_Makira	0.17758	2.31383	0.0103386	0.0138516	349.494	35.6085	24.8689
demissus_Makira	diadema_Guadalcanal	diadema_NB	0.17758	1.88083	0.0299976	0.0130649	825.714	39.3385	27.474
diadema_Ngella	diadema_Guadalcanal	demissus_Makira	0.126692	1.49756	0.067124	0.00842271	398.72	29.1158	22.5679
demissus_Makira	diadema_Rendova	diadema_Guadalcanal	0.223641	4.58973	2.21907e-06	0.105155	47.8073	134.734	85.4844
dinops_Guadalcanal	diadema_Guadalcanal	demissus_Makira	0.102468	0.951461	0.170685	0.00695878	400.948	29.0833	23.6771
dinops_Rendova	diadema_Guadalcanal	demissus_Makira	0.222492	3.20103	0.000684676	0.0194508	336.167	41.8958	26.6458
demissus_Makira	diadema_Isabel	diadema_NB	0.144476	1.54065	0.0617006	0.0109088	816.984	39.4427	29.4844
diadema_Isabel	diadema_Ngella	demissus_Makira	0.077769	1.12891	0.129468	0.00539931	373.045	29.0453	24.8536
diadema_Rendova	diadema_Isabel	demissus_Makira	0.210364	4.09006	2.15632e-05	0.0338039	136.599	77.4948	50.5573
diadema_Isabel	dinops_Guadalcanal	demissus_Makira	0.0902826	1.11162	0.13315	0.0068325	369.212	32.2036	26.8702
dinops_Rendova	diadema_Isabel	demissus_Makira	0.0781095	1.10222	0.135184	0.00573214	395.525	31.1276	26.6172
demissus_Makira	diadema_Ngella	diadema_NB	0.153739	1.51333	0.0650976	0.0115069	820.454	39.6958	29.1167
demissus_Makira	diadema_Rendova	diadema_NB	0.0283806	0.238347	0.405806	0.0023445	792.625	38.5	36.375
demissus_Makira	dinops_Guadalcanal	diadema_NB	0.0463088	0.477441	0.316524	0.0034774	825.995	36.2448	33.0365
demissus_Makira	dinops_Rendova	diadema_NB	0.0971519	0.882833	0.188663	0.00762216	816.172	39.526	32.526
diadema_Rendova	diadema_Ngella	demissus_Makira	0.235818	3.56959	0.000178768	0.0389524	136.412	81.5125	50.4042
diadema_Ngella	dinops_Guadalcanal	demissus_Makira	0.0227848	0.300855	0.381762	0.00147773	399.008	25.6241	24.4825
dinops_Rendova	diadema_Ngella	demissus_Makira	0.136745	1.87437	0.0304397	0.0110463	352.886	36.1696	27.4675
