# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
diadema_Gatokae	36	1.00000	0.00000	0.00000	0.96637	0.01569	0.00129	0.06727	0.06275	0.00257	0.93273	0.06275	0.00257	0.03363	0.01569	0.00129	0.96637	0.01569	0.00129	0.06727	0.06275	0.00257	0.00000	0.00000	0.00000
diadema_Guadalcanal	434	3.97506	0.02564	0.00156	0.94450	0.01449	0.00117	0.08044	0.03376	0.00179	0.91956	0.03376	0.00179	0.07586	0.02368	0.00150	0.92414	0.02368	0.00150	0.08691	0.03110	0.00171	0.01300	0.03315	0.00156
dinops_Guadalcanal	217	3.91026	0.08566	0.00284	0.97387	0.00775	0.00086	0.03879	0.01820	0.00131	0.96121	0.01820	0.00131	0.03540	0.01249	0.00109	0.96460	0.01249	0.00109	0.04082	0.01665	0.00125	0.00375	0.01377	0.00284
diadema_Isabel	265	3.41942	0.43966	0.00644	0.95088	0.01346	0.00113	0.07144	0.03348	0.00178	0.92856	0.03348	0.00178	0.06649	0.02156	0.00143	0.93351	0.02156	0.00143	0.07923	0.03088	0.00171	0.01513	0.03341	0.00644
dinops_Rendova	461	3.98876	0.01225	0.00108	0.95339	0.01347	0.00113	0.06632	0.02995	0.00168	0.93368	0.02995	0.00168	0.06193	0.02116	0.00141	0.93807	0.02116	0.00141	0.07087	0.02772	0.00162	0.00876	0.02536	0.00108
diadema_Rendova	587	1.00000	0.00000	0.00000	0.99143	0.00421	0.00063	0.01714	0.01685	0.00127	0.98286	0.01685	0.00127	0.00857	0.00421	0.00063	0.99143	0.00421	0.00063	0.01714	0.01685	0.00127	0.00000	0.00000	0.00000
demissus_Makira	656	1.00000	0.00000	0.00000	0.99698	0.00150	0.00038	0.00603	0.00600	0.00076	0.99397	0.00600	0.00076	0.00302	0.00150	0.00038	0.99698	0.00150	0.00038	0.00603	0.00600	0.00076	0.00000	0.00000	0.00000
diadema_Ngella	531	5.98054	0.02003	0.00138	0.94383	0.01418	0.00116	0.07921	0.02978	0.00168	0.92079	0.02978	0.00168	0.07766	0.02314	0.00148	0.92234	0.02314	0.00148	0.08479	0.02759	0.00161	0.01370	0.03244	0.00138
diadema_NB	878	1.00000	0.00000	0.00000	0.98843	0.00565	0.00074	0.02315	0.02261	0.00147	0.97685	0.02261	0.00147	0.01157	0.00565	0.00074	0.98843	0.00565	0.00074	0.02315	0.02261	0.00147	0.00000	0.00000	0.00000
diadema_PNG	1998	1.92618	0.06838	0.00255	0.93952	0.02399	0.00151	0.06347	0.04909	0.00216	0.93653	0.04909	0.00216	0.06565	0.02658	0.00159	0.93435	0.02658	0.00159	0.08804	0.04800	0.00214	0.03686	0.06644	0.00255
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
diadema_Gatokae	36	9470	9470	637	6.72650	1.00000	0.00000	0.00000	0.96637	0.01569	0.00129	0.06727	0.06275	0.00257	0.93273	0.06275	0.00257	0.03363	0.01569	0.00129	0.96637	0.01569	0.00129	0.06727	0.06275	0.00257	0.00000	0.00000	0.00000
diadema_Guadalcanal	434	10586	10586	2251	21.26393	3.97506	0.02564	0.00156	0.94450	0.01449	0.00117	0.08044	0.03376	0.00179	0.91956	0.03376	0.00179	0.07586	0.02368	0.00150	0.92414	0.02368	0.00150	0.08691	0.03110	0.00171	0.01300	0.03315	0.00156
dinops_Guadalcanal	217	10586	10586	1056	9.97544	3.91026	0.08566	0.00284	0.97387	0.00775	0.00086	0.03879	0.01820	0.00131	0.96121	0.01820	0.00131	0.03540	0.01249	0.00109	0.96460	0.01249	0.00109	0.04082	0.01665	0.00125	0.00375	0.01377	0.00284
diadema_Isabel	265	10586	10586	1937	18.29775	3.41942	0.43966	0.00644	0.95088	0.01346	0.00113	0.07144	0.03348	0.00178	0.92856	0.03348	0.00178	0.06649	0.02156	0.00143	0.93351	0.02156	0.00143	0.07923	0.03088	0.00171	0.01513	0.03341	0.00644
dinops_Rendova	461	10586	10586	1751	16.54071	3.98876	0.01225	0.00108	0.95339	0.01347	0.00113	0.06632	0.02995	0.00168	0.93368	0.02995	0.00168	0.06193	0.02116	0.00141	0.93807	0.02116	0.00141	0.07087	0.02772	0.00162	0.00876	0.02536	0.00108
diadema_Rendova	587	10503	10503	180	1.71380	1.00000	0.00000	0.00000	0.99143	0.00421	0.00063	0.01714	0.01685	0.00127	0.98286	0.01685	0.00127	0.00857	0.00421	0.00063	0.99143	0.00421	0.00063	0.01714	0.01685	0.00127	0.00000	0.00000	0.00000
demissus_Makira	656	10446	10446	63	0.60310	1.00000	0.00000	0.00000	0.99698	0.00150	0.00038	0.00603	0.00600	0.00076	0.99397	0.00600	0.00076	0.00302	0.00150	0.00038	0.99698	0.00150	0.00038	0.00603	0.00600	0.00076	0.00000	0.00000	0.00000
diadema_Ngella	531	10586	10586	2498	23.59720	5.98054	0.02003	0.00138	0.94383	0.01418	0.00116	0.07921	0.02978	0.00168	0.92079	0.02978	0.00168	0.07766	0.02314	0.00148	0.92234	0.02314	0.00148	0.08479	0.02759	0.00161	0.01370	0.03244	0.00138
diadema_NB	878	10455	10455	242	2.31468	1.00000	0.00000	0.00000	0.98843	0.00565	0.00074	0.02315	0.02261	0.00147	0.97685	0.02261	0.00147	0.01157	0.00565	0.00074	0.98843	0.00565	0.00074	0.02315	0.02261	0.00147	0.00000	0.00000	0.00000
diadema_PNG	1998	10525	10525	1491	14.16627	1.92618	0.06838	0.00255	0.93952	0.02399	0.00151	0.06347	0.04909	0.00216	0.93653	0.04909	0.00216	0.06565	0.02658	0.00159	0.93435	0.02658	0.00159	0.08804	0.04800	0.00214	0.03686	0.06644	0.00255
